[-0.4957, 0.1857, 0.0222, -1.3461, -1.1575, 1.286]
[-0.4961, 0.1844, 0.0221, -1.3452, -1.1596, 1.288]
[-0.4982, 0.1787, 0.022, -1.3411, -1.1687, 1.296]
[-0.5006, 0.1749, 0.021, -1.3478, -1.1728, 1.299]
[-0.5041, 0.1679, 0.0199, -1.3531, -1.1824, 1.307]
[-0.5074, 0.1604, 0.0194, -1.3538, -1.1778, 1.299]
[-0.5077, 0.1589, 0.0196, -1.351, -1.1797, 1.301]
[-0.5088, 0.1538, 0.0203, -1.3407, -1.1865, 1.307]
[-0.5118, 0.1417, 0.0211, -1.3232, -1.2037, 1.322]
[-0.5148, 0.1313, 0.0211, -1.3158, -1.2171, 1.333]
[-0.5155, 0.1284, 0.021, -1.3134, -1.2211, 1.337]
[-0.5161, 0.1238, 0.021, -1.3077, -1.225, 1.34]
[-0.5159, 0.1209, 0.0207, -1.3041, -1.2272, 1.342]
[-0.5152, 0.1152, 0.0206, -1.2924, -1.2323, 1.347]
[-0.5145, 0.1113, 0.0201, -1.2862, -1.2361, 1.351]
[-0.513, 0.1063, 0.0194, -1.2776, -1.24, 1.355]
[-0.5116, 0.1021, 0.0187, -1.2708, -1.2433, 1.358]
[-0.5092, 0.095, 0.0181, -1.2554, -1.248, 1.364]
[-0.5059, 0.0835, 0.0175, -1.2311, -1.2565, 1.374]
[-0.5051, 0.0787, 0.0174, -1.2221, -1.2605, 1.378]
[-0.5048, 0.0761, 0.0174, -1.2178, -1.2625, 1.38]
[-0.5038, 0.0725, 0.0173, -1.2108, -1.2642, 1.383]
[-0.5028, 0.0672, 0.0173, -1.2007, -1.2681, 1.388]
[-0.502, 0.0631, 0.0175, -1.1919, -1.2713, 1.392]
[-0.5011, 0.0578, 0.0178, -1.1805, -1.2754, 1.397]
[-0.5001, 0.0517, 0.0179, -1.17, -1.2766, 1.4]
[-0.4993, 0.0464, 0.018, -1.1664, -1.2684, 1.395]
[-0.4984, 0.0399, 0.0179, -1.1687, -1.2482, 1.38]
[-0.4975, 0.0333, 0.0185, -1.1613, -1.2399, 1.377]
[-0.497, 0.0304, 0.0192, -1.1532, -1.2418, 1.381]
[-0.4962, 0.0234, 0.0207, -1.1337, -1.2464, 1.39]
[-0.4954, 0.0155, 0.0218, -1.1159, -1.2534, 1.402]
[-0.4951, 0.011, 0.0224, -1.1069, -1.2576, 1.408]
[-0.4948, 0.0063, 0.0231, -1.0973, -1.2616, 1.414]
[-0.4938, -0.0063, 0.0235, -1.1024, -1.2377, 1.403]
[-0.4927, -0.0123, 0.0235, -1.1119, -1.2168, 1.391]
[-0.4888, -0.0515, 0.0255, -1.0614, -1.2614, 1.449]
