,timestamp,X_im,Y_im,Frame_Probability,X_tcp,Y_tcp,Z_tcp,X,Y,Z,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,x_filt,velocity_im,velocity_force,force_curr_filt,stiffness,class_num,Frame_Probability_sacrum,X_sac,Y_sac
0,1623073137.3605957,0,2,0.0,-5.42895739601007e-05,0.00032826046484191185,0.03347822150585167,0.7855899318336189,0.033417910436109886,-0.2543979320981609,1.2373308323195344,1.1597327879694914,1.1914095685605022,-1.7361459732055664,6.740763187408447,-16.061397552490234,-0.5500839948654175,-0.036483000963926315,0.02166000008583069,320.0,0.0,0.0,-16.061397552490234,0,"[0.0, 1.0, 2.0]",0.0,0.0,1.0
1,1623073137.4217849,400,180,0.7510693073272705,-5.42895739601007e-05,0.00032826046484191185,0.03347822150585167,0.7855899318336189,0.033417910436109886,-0.2543979320981609,1.2373308323195344,1.1597327879694914,1.1914095685605022,-1.7361459732055664,6.740763187408447,-16.061397552490234,-0.5500839948654175,-0.036483000963926315,0.02166000008583069,327.27272727272725,-9.090909090909066e-05,0.0,-16.061397552490234,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
2,1623073137.460478,400,180,0.7455642819404602,-6.464429011265871e-05,0.00029991119411976186,0.033485863730855936,0.7855973341474562,0.03340770246822251,-0.25442639800832656,1.237437815727439,1.159742334529413,1.1914170454264021,-1.7361459732055664,6.740763187408447,-16.061397552490234,-0.5500839948654175,-0.036483000963926315,0.02166000008583069,338.9312977099236,-0.00028209576682859065,0.0,-16.061397552490234,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
3,1623073137.5004325,400,180,0.7074981331825256,-6.464429011265871e-05,0.00029991119411976186,0.033485863730855936,0.7855973341474562,0.03340770246822251,-0.25442639800832656,1.237437815727439,1.159742334529413,1.1914170454264021,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,351.5445184736523,-0.0005353543643349494,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
4,1623073137.5358863,400,180,0.7074981331825256,-6.464429011265871e-05,0.00029991119411976186,0.033485863730855936,0.7855973341474562,0.03340770246822251,-0.25442639800832656,1.237437815727439,1.159742334529413,1.1914170454264021,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,362.91317046034027,-0.000804091812921728,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
5,1623073137.5727398,400,180,0.7097184062004089,-6.038602224928136e-05,0.00027512765362730507,0.033485216353658975,0.7855971049419597,0.03341241476097337,-0.2544511066623499,1.2374404665540775,1.1597702709929647,1.1913899161577681,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,372.2117051245089,-0.0010546922205172254,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
6,1623073137.607941,400,180,0.6653509140014648,-6.038602224928136e-05,0.00027512765362730507,0.033485216353658975,0.7855971049419597,0.03341241476097337,-0.2544511066623499,1.2374404665540775,1.1597702709929647,1.1913899161577681,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,379.4271013480135,-0.0012701848771087812,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
7,1623073137.6475341,400,180,0.659254789352417,-7.132653152361335e-05,0.0003315391609146068,0.03350743746893192,0.785618292820171,0.0333994733934662,-0.25439472115281486,1.2373843831633375,1.1597249124180766,1.1913773520838105,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,384.86904088689664,-0.0014459554496405987,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
8,1623073137.6826282,400,180,0.6702588796615601,-7.132653152361335e-05,0.0003315391609146068,0.03350743746893192,0.785618292820171,0.0333994733934662,-0.25439472115281486,1.2373843831633375,1.1597249124180766,1.1913773520838105,-1.9761459827423096,6.590763092041016,-15.28139877319336,-0.5700839757919312,-0.02548299916088581,0.017659999430179596,388.9111474655753,-0.0015843670681399908,0.00031199951171875003,-15.28139877319336,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
9,1623073137.717721,400,180,0.6702588796615601,-7.132653152361335e-05,0.0003315391609146068,0.03350743746893192,0.785618292820171,0.0333994733934662,-0.25439472115281486,1.2373843831633375,1.1597249124180766,1.1913773520838105,-1.7261459827423096,6.58076286315918,-15.441398620605469,-0.561083972454071,-0.024483000859618187,0.02166000008583069,391.8890233225032,-0.0016907963256012856,0.00030285666329520213,-15.304255894252229,0,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
10,1623073137.752769,400,180,0.6663371920585632,-7.7098475756876e-05,0.00043034785896112204,0.03353114608760921,0.7856408321666889,0.03339089068502814,-0.25429584300697927,1.2373351961923096,1.1597241227908872,1.191341567710588,-1.7261459827423096,6.58076286315918,-15.441398620605469,-0.561083972454071,-0.024483000859618187,0.02166000008583069,394.0732924287534,-0.0017713143181600603,0.0002937138148716528,-15.327113015311102,964.0848912370548,"[0.0, 0.0, 0.0]",0.0,140.0,84.0
