,timestamp,X_im,Y_im,Frame_Probability,X_tcp,Y_tcp,Z_tcp,X,Y,Z,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz
0,1623073137.3758929,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079982748744,0.03341800010713904,-0.25441000002545955,1.2373069999621247,1.1597360001216308,1.1914340003529584,-37.97092649223097,-20.76835032818856,5.089022753659995,-0.9445107844877281,-0.8131393732998972,9.916334308713854
1,1623073137.4055882,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079982748744,0.03341800010713904,-0.25441000002545955,1.2373069999621247,1.1597360001216308,1.1914340003529584,-36.97632608896477,-20.30506847846433,5.235277417534896,-0.9887993929005604,-0.6015698818973607,9.67226257899442
2,1623073137.4343827,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079982748744,0.03341800010713904,-0.25441000002545955,1.2373069999621247,1.1597360001216308,1.1914340003529584,-37.61567584288847,-20.534356490624866,5.45394780204124,-0.9430630669370018,-0.5038222886690203,9.830628276260782
3,1623073137.4712768,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079982280524,0.033418000019568045,-0.25440999493641264,1.2373070294116604,1.159736028534749,1.1914339828230647,-37.394655225094525,-20.830775547419442,5.040797552644456,-0.9253709025093617,-0.6825199543425815,10.014167072605584
4,1623073137.493111,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079975882562,0.03341799920950084,-0.25440992336824264,1.2373074435039881,1.1597364280647615,1.1914337363384737,-38.373846384767525,-20.450312529688528,7.090768601222216,-0.8970039622052425,0.18079920513975592,9.826599661799577
5,1623073137.5240695,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079949051201,0.03341799916389771,-0.2544096053641457,1.237309282981592,1.159738202930401,1.1914326414388379,-36.642153169644196,-20.37031991725814,5.951319169222963,-0.8954230820581766,-0.07135208001310119,9.734364168420214
6,1623073137.5559177,0.0,0.0,0.0,0.0,0.0,0.0,0.7856079884929066,0.03341801797729424,-0.254408739945838,1.237314287020942,1.159743031242492,1.1914296629253902,-35.75267727689828,-20.949743534845997,5.330061753335003,-0.8660732874288396,-0.2100932887549831,9.98992956570074
7,1623073137.5849373,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080112886945,0.03341810102423145,-0.25440687220067076,1.237325197501218,1.1597535585882297,1.1914231687721297,-35.58800531919595,-20.15895500567711,5.650702283276954,-0.6583690822077064,0.05623414639132701,9.66093935017974
8,1623073137.6214387,0.0,0.0,0.0,0.0,0.0,0.0,0.7856081101863769,0.033418333452855185,-0.2544036151236189,1.2373443968893436,1.1597720836102425,1.1914117407159763,-32.21119313404758,-19.169085450351727,-0.6935351521958628,-0.6473072486576867,-2.6596137698677254,9.177107584402197
9,1623073137.6502335,0.0,0.0,0.0,0.0,0.0,0.0,0.785608236400974,0.033418635390762855,-0.2544003277540849,1.23736384482302,1.1597908482909678,1.1914001644446013,-29.1253168627872,-17.440606266949064,-3.763002114777739,-0.5483157170327723,-4.163753631901215,8.447681193807776
10,1623073137.6790283,0.0,0.0,0.0,0.0,0.0,0.0,0.7856084763573546,0.03341925920958203,-0.25439481767790617,1.237396506528057,1.1598223622825088,1.1913807221916974,-28.174036948321636,-15.870304189935677,-4.426082128478116,-0.4774719089031759,-4.768386061545378,7.803642641964874
11,1623073137.7087238,0.0,0.0,0.0,0.0,0.0,0.0,0.7856088004510906,0.033420182470849935,-0.25438801884710077,1.2374368611341868,1.1598612981793357,1.1913566998232383,-25.312459088598754,-15.775670078334462,-5.404318755644045,-0.40913318373332125,-5.619621849746561,7.63978440314522
12,1623073137.740574,0.0,0.0,0.0,0.0,0.0,0.0,0.7856092105167473,0.03342144581495898,-0.2543799305485524,1.2374849085250519,1.1599076558289676,1.1913280968268258,-25.124166924028735,-15.109057128136074,-5.75941592686056,-0.2639674108005386,-5.7541266356414065,7.342425593719387
13,1623073137.7703726,0.0,0.0,0.0,0.0,0.0,0.0,0.7856097084368266,0.03342308814020145,-0.25437055199663333,1.23754064862546,1.1599614351369176,1.1912949125319212,-24.22318587923924,-14.819843957136948,-3.4601994456639202,-0.24655747607824163,-5.349294370640777,7.136139317346602
14,1623073137.8014736,0.0,0.0,0.0,0.0,0.0,0.0,0.7856102949452979,0.03342513817995735,-0.25435987176258634,1.2376040814315254,1.160022635713278,1.1912571460873305,-20.15716561057309,-12.150366825241415,-6.77663865569043,-0.31636028432579544,-6.682221767106094,5.88411170098954
15,1623073137.8347673,0.0,0.0,0.0,0.0,0.0,0.0,0.7856106212850273,0.03342632577016347,-0.25435403924445166,1.2376386825759447,1.160056018869381,1.191236544253905,-25.89459940409936,-14.506219283564624,4.285755211161621,-0.08022344507887269,-2.031605574156292,6.954598672008831
16,1623073137.8707614,0.0,0.0,0.0,0.0,0.0,0.0,0.7856115319275883,0.03342979034826298,-0.25433802129016103,1.2377335992365928,1.1601475932258474,1.1911800260870997,-15.808241767171419,-11.523398259598215,-5.6517350875461165,-0.07211094849360059,-6.4667507607824755,5.435990505682117
17,1623073137.901471,0.0,0.0,0.0,0.0,0.0,0.0,0.7856123565138273,0.03343308609291848,-0.25432372901625017,1.2378181863913893,1.1602292009672155,1.1911296536629443,-15.245065860785886,-11.852565528537724,-10.986908494462824,-0.10663218991779971,-9.202242795588463,5.536454582243687
